trial,imgID,phase,resp,RT,correct,keysID
0,1,0,1,857215,1,0
1,2,0,1,935,1,0
2,4,0,2,753,1,0
3,3,0,1,785,1,0
4,6,0,2,802,1,0
5,5,0,2,864,1,0
6,6,0,2,5294,1,1
7,4,0,2,933,1,1
8,1,0,1,763,1,1
9,2,0,1,870,1,1
10,3,0,1,777,1,1
11,5,0,2,804,1,1
0,1,1,1,804,1,0
1,4,1,2,665,1,0
2,6,1,2,679,1,0
3,3,1,1,643,1,0
4,1,1,1,634,1,0
5,5,1,2,579,1,0
6,6,1,2,591,1,0
7,5,1,2,680,1,0
8,4,1,2,580,1,0
9,2,1,1,597,1,0
0,2,2,1,904,1,1
1,3,2,1,617,1,1
2,6,2,2,570,1,1
3,5,2,2,621,1,1
4,4,2,2,686,1,1
5,1,2,1,691,1,1
6,5,2,2,810,1,1
7,6,2,2,599,1,1
8,2,2,1,593,1,1
0,2,3,1,744,1,0
1,3,3,1,794,1,1
2,5,3,2,969,1,0
3,2,3,1,736,1,1
4,5,3,2,698,1,0
5,6,3,2,890,1,1
6,5,3,2,748,1,0
7,1,3,1,852,1,1
8,3,3,1,827,1,0
9,2,3,1,773,1,1
10,1,3,1,880,1,0
11,6,3,2,822,1,1
12,3,3,1,793,1,0
13,1,3,1,1002,1,1
14,4,3,2,741,1,0
15,4,3,2,986,1,1
16,5,3,2,803,1,0
17,3,3,1,767,1,1
18,1,3,1,870,1,0
19,2,3,1,1050,1,1
20,3,3,1,0,0,
